offer_id,offer_type,fa_title,en_title,upc_code,offer_calculation,accumulator_id,flag_offer_id,max_amount,amount_unit,only_full_rate
62687,data,13 گیگ اینترنت 30 روزه 45500 ت,13GB data 30days 45500T,PO1276QCV,normal,,,,,
62688,data,13 گیگ اینترنت 30 روزه 48750 ت,13GB data 30days 48750T,PO1277JSK,normal,,,,,
62689,data,13 گیگ اینترنت 30 روزه 53300 ت,13GB data 30days 53300T,PO1278QCV,normal,,,,,
62690,data,15 گیگ اینترنت 30 روزه 46500 ت,15GB data 30days 46500T,PO1365EPT,normal,,,,,
62691,data,15 گیگ اینترنت 30 روزه 52500 ت,15GB data 30days 52500T,PO1366EPT,normal,,,,,
62692,data,15 گیگ اینترنت 30 روزه 56250 ت,15GB data 30days 56250T,PO1367ZCY,normal,,,,,
62693,data,17 گیگ اینترنت 30 روزه 52700 ت,17GB data 30days 52700T,PO1368EPT,normal,,,,,
62694,data,17 گیگ اینترنت 30 روزه 59500 ت,17GB data 30days 59500T,PO1369ZCY,normal,,,,,
62695,data,17 گیگ اینترنت 30 روزه 69700 ت,17GB data 30days 69700T,PO1370LTM,normal,,,,,
62696,data,19 گیگ اینترنت 30 روزه 62700 ت,19GB data 30days 62700T,PO1371EPT,normal,,,,,
62697,data,19 گیگ اینترنت 30 روزه 71250 ت,19GB data 30days 71250T,PO1372EPT,normal,,,,,
62698,data,20 گیگ اینترنت 30 روزه 62000 ت,20GB data 30days 62000T,PO1373LTM,normal,,,,,
62699,data,20 گیگ اینترنت 30 روزه 70000 ت,20GB data 30days 70000T,PO1374LTM,normal,,,,,
62700,data,20 گیگ اینترنت 30 روزه 82000 ت,20GB data 30days 82000T,PO1375ZCY,normal,,,,,
62701,data,23 گیگ اینترنت 30 روزه 75900 ت,23GB data 30days 75900T,PO1376EPT,normal,,,,,
62702,data,23 گیگ اینترنت 30 روزه 86250 ت,23GB data 30days 86250T,PO1377EPT,normal,,,,,
62703,data,25 گیگ اینترنت 30 روزه 77500 ت,25GB data 30days 77500T,PO1378EPT,normal,,,,,
62704,data,25 گیگ اینترنت 30 روزه 87500 ت,25GB data 30days 87500T,PO1379ZCY,normal,,,,,
62705,data,25 گیگ اینترنت 30 روزه 102500 ت,25GB data 30days 102500T,PO1380ZCY,normal,,,,,
62706,data,32 گیگ اینترنت 30 روزه 102400 ت,32GB data 30days 102400T,PO1381LTM,normal,,,,,
62707,data,32 گیگ اینترنت 30 روزه 110400 ت,32GB data 30days 110400T,PO1382EPT,normal,,,,,
62708,data,38 گیگ اینترنت 30 روزه 119700 ت,38GB data 30days 119700T,PO1383ZCY,normal,,,,,
62709,data,38 گیگ اینترنت 30 روزه 129200 ت,38GB data 30days 129200T,PO1384ZCY,normal,,,,,
62710,data,43 گیگ اینترنت 30 روزه 133300 ت,43GB data 30days 133300T,PO1385LTM,normal,,,,,
62711,data,43 گیگ اینترنت 30 روزه 144050 ت,43GB data 30days 144050T,PO1279JSK,normal,,,,,
62712,data,52 گیگ اینترنت 30 روزه 158600 ت,52GB data 30days 158600T,PO1280QCV,normal,,,,,
62713,data,52 گیگ اینترنت 30 روزه 171600 ت,52GB data 30days 171600T,PO1281QCV,normal,,,,,
62714,data,60 گیگ اینترنت 30 روزه 180000 ت,60GB data 30days 180000T,PO1282QCV,normal,,,,,
62715,data,60 گیگ اینترنت 30 روزه 195000 ت,60GB data 30days 195000T,PO1283QCV,normal,,,,,
62716,data,75 گیگ اینترنت 30 روزه 225000 ت,75GB data 30days 225000T,PO1284JSK,normal,,,,,
62717,data,75 گیگ اینترنت 30 روزه 236250 ت,75GB data 30days 236250T,PO1285GJQ,normal,,,,,
62718,data,75 گیگ اینترنت 30 روزه 255000 ت,75GB data 30days 255000T,PO1286JSK,normal,,,,,
62719,data,90 گیگ اینترنت 30 روزه 270000 ت,90GB data 30days 270000T,PO1287JSK,normal,,,,,
62720,data,90 گیگ اینترنت 30 روزه 283500 ت,90GB data 30days 283500T,PO1288QCV,normal,,,,,
62721,data,90 گیگ اینترنت 30 روزه 306000 ت,90GB data 30days 306000T,PO1289GJQ,normal,,,,,
61227,data,5گیگ 30روزه (برای لنز، فیلیمو، روبیکا) 16000تومان,"5GB 30days (For Lenz, Filimo, Rubika) 16000Toman",PO1156NIR,normal,,,,,
61228,data,10گیگ 30روزه (برای لنز، فیلیمو، روبیکا) 28000تومان,"10GB 30days (For Lenz, Filimo, Rubika) 28000Toman",PO1157NIR,normal,,,,,
61229,data,2گیگ 30روزه (برای لنز، فیلیمو، روبیکا) 5000تومان,"2GB 30days (For Lenz, Filimo, Rubika) 5000Toman",PO1158RPC,normal,,,,,
62666,voice,1 ساعت مکالمه ایرانسلی رایگان برای امروز,1 Hour On-net free sameday,O22071,normal,,,,,
62667,voice,2 ساعت مکالمه ایرانسلی رایگان برای امروز,2 Hour On-net free sameday,O22074,normal,,,,,
62668,voice,2 ساعت مکالمه ایرانسلی رایگان روزانه,2 Hour On-net free Daily,O22073,normal,,,,,
62669,voice,3 ساعت مکالمه ایرانسلی رایگان روزانه,3 Hour On-net free Daily,O22077,normal,,,,,
52877,voice,بسته 2 مگابیت اقتصادی 30 روزه,30Days Economical  2Mbps,PO1121ALF,normal,,,,,
52878,voice,بسته 4 مگابیت اقتصادی 30 روزه,30Days Economical  4Mbps,PO1122IJO,normal,,,,,
52879,voice,بسته 8 مگابیت اقتصادی 30 روزه,30Days Economical  8Mbps,PO1123IJO,normal,,,,,
22148,data,بسته 3گیگ 14 روزه,3GB 14Days,"PO1180WZS ",normal,,,,,
22149,data,بسته 5گیگ 30 روزه,5GB 30Days,PO1181NIR,normal,,,,,
20050,data,بسته 300مگابایت رومینگ بین الملل,300MB Special Roaming data package,PO1186MCX,normal,,,,,
20051,data,بسته 1گیگ رومینگ بین الملل,1GB Special Roaming data package,PO1187TAZ,normal,,,,,
20053,data,بسته 10گیگ رومینگ بین الملل,10GB Special Roaming data package,PO1189MCX,normal,,,,,
85015,data,2گیگ+2ساعت مکالمه ایرانسلی,2GB+2Hour on-net voice,PO1178WZS,normal,,,,,
